"'=== Task 1: Monthly late rate overall and by ship_mode (Apr-Jun 2025) ==='"
"=== Task 1: Monthly late rate overall and by ship_mode (Apr-Jun 2025) ==="
order_month,ship_mode,total_orders,late_rate
2025-04,air,37,0.351351351351351
2025-04,rail,16,0.4375
2025-04,road,133,0.481203007518797
2025-04,sea,45,0.533333333333333
2025-05,air,55,0.345454545454545
2025-05,rail,9,0.666666666666667
2025-05,road,152,0.539473684210526
2025-05,sea,50,0.7
2025-06,air,37,0.378378378378378
2025-06,rail,12,0.416666666666667
2025-06,road,123,0.495934959349593
2025-06,sea,66,0.757575757575758
"'--------------------------------------------'"
--------------------------------------------
"'=== Task 2: Top 5 suppliers by volume with late_rate (Apr-Jun 2025) ==='"
"=== Task 2: Top 5 suppliers by volume with late_rate (Apr-Jun 2025) ==="
supplier_id,name,total_orders,late_rate
2,"Supplier 002",52,0.346153846153846
15,"Supplier 015",45,0.355555555555556
3,"Supplier 003",42,0.547619047619048
9,"Supplier 009",41,0.585365853658537
13,"Supplier 013",41,0.51219512195122
"'--------------------------------------------'"
--------------------------------------------
"'=== Task 3: Trailing 90-day supplier late rate per order ==='"
"=== Task 3: Trailing 90-day supplier late rate per order ==="
order_id,supplier_id,order_date,trailing_90d_late_rate
1,8,2024-01-01,
2,1,2024-01-01,
3,17,2024-01-01,
4,16,2024-01-01,
5,6,2024-01-02,
6,15,2024-01-02,
7,11,2024-01-02,
8,9,2024-01-02,
9,7,2024-01-02,
10,4,2024-01-02,
11,8,2024-01-02,1.0
12,15,2024-01-03,1.0
13,3,2024-01-03,
14,13,2024-01-03,
15,10,2024-01-03,
16,19,2024-01-03,
17,10,2024-01-03,
18,2,2024-01-03,
19,18,2024-01-03,
20,19,2024-01-03,
21,15,2024-01-03,1.0
22,11,2024-01-03,1.0
23,20,2024-01-03,
24,9,2024-01-03,1.0
25,12,2024-01-04,
26,12,2024-01-04,
27,13,2024-01-04,1.0
28,5,2024-01-04,
29,10,2024-01-04,0.5
30,7,2024-01-04,0.0
31,6,2024-01-04,0.0
32,7,2024-01-05,0.0
33,16,2024-01-05,1.0
34,5,2024-01-05,0.0
35,10,2024-01-05,0.666666666666667
36,18,2024-01-05,1.0
37,18,2024-01-05,1.0
38,10,2024-01-05,0.666666666666667
39,11,2024-01-05,0.5
40,5,2024-01-06,0.0
41,8,2024-01-06,1.0
42,17,2024-01-06,1.0
43,1,2024-01-06,1.0
44,12,2024-01-06,0.0
45,17,2024-01-06,1.0
46,20,2024-01-06,0.0
47,17,2024-01-06,1.0
48,11,2024-01-06,0.666666666666667
49,8,2024-01-07,1.0
50,8,2024-01-07,1.0
51,15,2024-01-07,1.0
52,15,2024-01-07,1.0
53,18,2024-01-08,0.666666666666667
54,15,2024-01-08,0.8
55,11,2024-01-08,0.75
56,16,2024-01-08,1.0
57,13,2024-01-08,0.5
58,7,2024-01-08,0.0
59,11,2024-01-09,0.8
60,1,2024-01-09,0.5
61,15,2024-01-09,0.833333333333333
62,9,2024-01-09,0.5
63,10,2024-01-09,0.4
64,2,2024-01-09,1.0
65,11,2024-01-09,0.8
66,14,2024-01-10,
67,2,2024-01-10,1.0
68,4,2024-01-10,0.0
69,18,2024-01-10,0.5
70,3,2024-01-10,1.0
71,17,2024-01-10,0.75
72,11,2024-01-11,0.571428571428571
73,10,2024-01-11,0.5
74,11,2024-01-11,0.571428571428571
75,2,2024-01-11,0.666666666666667
76,14,2024-01-11,0.0
77,6,2024-01-11,0.0
78,14,2024-01-11,0.0
79,3,2024-01-11,0.5
80,6,2024-01-11,0.0
81,11,2024-01-11,0.571428571428571
82,6,2024-01-12,0.25
83,8,2024-01-12,1.0
84,11,2024-01-12,0.7
85,8,2024-01-12,1.0
86,20,2024-01-12,0.5
87,11,2024-01-12,0.7
88,16,2024-01-12,1.0
89,17,2024-01-12,0.6
90,11,2024-01-12,0.7
91,14,2024-01-12,0.666666666666667
92,13,2024-01-13,0.333333333333333
93,10,2024-01-13,0.571428571428571
94,5,2024-01-13,0.0
95,10,2024-01-13,0.571428571428571
96,5,2024-01-13,0.0
97,15,2024-01-13,0.857142857142857
98,15,2024-01-13,0.857142857142857
99,15,2024-01-13,0.857142857142857
100,18,2024-01-13,0.4
101,19,2024-01-14,1.0
102,6,2024-01-14,0.4
103,12,2024-01-14,0.333333333333333
104,3,2024-01-15,0.333333333333333
105,16,2024-01-15,1.0
106,13,2024-01-15,0.25
107,8,2024-01-15,0.857142857142857
108,17,2024-01-15,0.666666666666667
109,6,2024-01-15,0.5
110,17,2024-01-15,0.666666666666667
111,19,2024-01-15,1.0
112,13,2024-01-15,0.25
113,9,2024-01-15,0.333333333333333
114,20,2024-01-15,0.333333333333333
115,14,2024-01-15,0.75
116,20,2024-01-16,0.5
117,5,2024-01-16,0.0
118,3,2024-01-16,0.25
119,8,2024-01-16,0.875
120,14,2024-01-16,0.6
121,7,2024-01-16,0.25
122,9,2024-01-17,0.25
123,16,2024-01-17,0.8
124,14,2024-01-17,0.5
125,20,2024-01-17,0.6
126,6,2024-01-17,0.428571428571429
127,3,2024-01-17,0.2
128,5,2024-01-17,0.0
129,1,2024-01-17,0.666666666666667
130,13,2024-01-18,0.166666666666667
131,18,2024-01-18,0.5
132,20,2024-01-18,0.5
133,9,2024-01-18,0.2
134,3,2024-01-18,0.333333333333333
135,12,2024-01-18,0.25
136,6,2024-01-19,0.375
137,16,2024-01-19,0.833333333333333
138,9,2024-01-19,0.166666666666667
139,2,2024-01-19,0.75
140,17,2024-01-19,0.75
141,1,2024-01-19,0.5
142,9,2024-01-19,0.166666666666667
143,17,2024-01-19,0.75
144,20,2024-01-19,0.571428571428571
145,14,2024-01-19,0.571428571428571
146,3,2024-01-19,0.428571428571429
147,16,2024-01-19,0.833333333333333
148,1,2024-01-19,0.5
